RoundedX,RoundedY,PredictedX,PredictedY
-1357,3944,-1222.556,3663.78
-1352,3934,-1289.1556,3656.6628
-1337,3924,-1118.6483,3731.4956
-1332,3919,-1116.9739,3791.1536
-1322,3909,-1103.5479,3813.695
-1322,3909,-1103.5479,3813.695
-1312,3899,-1199.6708,3739.7427
-1307,3894,-1205.0225,3719.369
-1292,3884,-1261.8107,3766.3115
-1287,3874,-1276.0004,3743.6758
-1277,3864,-1208.7662,3804.8499
-1267,3859,-1171.6265,3763.732
-1262,3849,-1168.4067,3658.6782
-1247,3839,-1219.0643,3803.2964
-1242,3834,-1108.2985,3643.514
-1232,3824,-1164.203,3674.273
-1232,3824,-1164.203,3674.273
-1232,3824,-1164.203,3674.273
-1232,3824,-1164.203,3674.273
-1232,3824,-1164.203,3674.273
-1232,3824,-1164.203,3674.273
-1232,3824,-1164.203,3674.273
-1232,3824,-1164.203,3674.273
-1232,3824,-1164.203,3674.273
-1227,3819,-1219.9292,3704.606
-1227,3819,-1219.9292,3704.606
-1227,3819,-1219.9292,3704.606
-1227,3814,-1160.0334,3745.0784
-1227,3814,-1160.0334,3745.0784
-1227,3814,-1160.0334,3745.0784
-1227,3814,-1160.0334,3745.0784
-1227,3814,-1160.0334,3745.0784
-1227,3814,-1160.0334,3745.0784
-1227,3814,-1160.0334,3745.0784
-1227,3814,-1160.0334,3745.0784
-1227,3814,-1160.0334,3745.0784
-1227,3814,-1160.0334,3745.0784
-1227,3814,-1160.0334,3745.0784
-1227,3814,-1160.0334,3745.0784
-1227,3814,-1160.0334,3745.0784
-1227,3814,-1160.0334,3745.0784
-1232,3809,-1159.5105,3756.798
-1232,3809,-1159.5105,3756.798
-1232,3804,-1196.3724,3696.918
-1232,3804,-1196.3724,3696.918
-1237,3799,-1199.743,3739.0989
-1237,3799,-1199.743,3739.0989
-1242,3794,-1196.469,3706.2166
-1247,3779,-1026.6877,3588.9148
-1252,3769,-1240.923,3499.8276
-1257,3764,-1231.2744,3577.4744
-1262,3749,-1285.0974,3619.7268
-1267,3739,-1183.954,3681.9238
-1272,3724,-1004.7928,3547.36
-1277,3714,-1013.027,3773.7004
-1282,3704,-1251.62,3770.394
-1287,3689,-1292.0356,3456.4236
-1292,3684,-1160.4504,3672.9504
-1297,3669,-1091.7017,3792.1714
-1302,3659,-1068.6259,3817.7156
-1307,3649,-1020.0726,3706.7666
-1312,3634,-1233.4766,3665.5479
-1317,3624,-1281.1151,3770.2397
-1322,3609,-1279.2096,3713.469
-1327,3604,-1284.5657,3675.7888
-1332,3594,-1292.0035,3522.4434
-1337,3579,-1288.8169,3801.7927
-1342,3569,-1143.6387,3786.331
-1347,3554,-1213.7104,3656.669
-1352,3544,-1264.4916,3529.0818
-1357,3534,-1291.5154,3375.902
-1362,3524,-1282.7415,3599.2654
-1362,3524,-1282.7415,3599.2654
-1362,3519,-1258.5123,3547.0618
-1362,3519,-1258.5123,3547.0618
-1362,3519,-1258.5123,3547.0618
-1362,3519,-1258.5123,3547.0618
-1362,3519,-1258.5123,3547.0618
-1362,3519,-1258.5123,3547.0618
-1362,3519,-1258.5123,3547.0618
-1362,3519,-1258.5123,3547.0618
-1362,3519,-1258.5123,3547.0618
-1362,3519,-1258.5123,3547.0618
-1362,3519,-1258.5123,3547.0618
-1362,3519,-1258.5123,3547.0618
-1362,3519,-1258.5123,3547.0618
-1362,3519,-1258.5123,3547.0618
-1362,3519,-1258.5123,3547.0618
-1357,3514,-1108.5994,3628.2297
-1357,3514,-1108.5994,3628.2297
-1357,3514,-1108.5994,3628.2297
-1357,3514,-1108.5994,3628.2297
-1352,3509,-1099.0376,3594.3994
-1352,3509,-1099.0376,3594.3994
-1347,3499,-1272.9131,3524.1755
-1347,3489,-1292.6012,3678.9055
-1342,3474,-1178.5063,3627.269
-1337,3464,-1273.3005,3438.4575
-1332,3454,-1259.7477,3503.1528
-1327,3439,-1210.0938,3552.2559
-1322,3434,-1227.5027,3537.5613
-1317,3419,-1234.9751,3520.1558
-1312,3409,-1243.6609,3552.1047
-1307,3399,-1255.866,3373.6335
-1302,3384,-1274.7228,3445.431
-1302,3374,-1240.7637,3262.7073
-1292,3359,-1221.1836,3187.586
-1292,3349,-1208.8403,3121.6428
-1287,3344,-1177.0948,3071.658
-1287,3344,-1177.0948,3071.658
-1287,3344,-1177.0948,3071.658
-1287,3344,-1177.0948,3071.658
-1287,3344,-1177.0948,3071.658
-1287,3344,-1177.0948,3071.658
-1287,3339,-1017.6856,3092.8057
-1282,3334,-1196.2998,3032.4468
-1282,3334,-1196.2998,3032.4468
-1277,3329,-1275.1279,3206.1548
-1272,3324,-1254.5901,3291.9717
-1272,3324,-1254.5901,3291.9717
-1262,3314,-1171.3917,3162.6628
-1257,3304,-1205.1475,3125.9065
-1247,3294,-1208.7476,3097.483
-1242,3284,-1235.3589,3183.7336
-1237,3274,-1235.0203,3197.143
-1227,3264,-1245.863,3239.5693
-1222,3254,-1238.3611,3169.5579
-1212,3239,-1218.3759,3042.1292
-1212,3239,-1218.3759,3042.1292
-1207,3234,-1262.9811,3145.6802
-1202,3224,-1200.3922,3133.4497
-1192,3214,-1160.4255,3090.1729
-1187,3204,-1234.7596,3254.058
-1177,3189,-1204.4203,3061.985
-1172,3184,-1171.1538,3014.477
-1172,3184,-1171.1538,3014.477
-1167,3174,-1272.1312,3275.0796
-1157,3159,-1210.1548,3153.2869
-1157,3159,-1210.1548,3153.2869
-1157,3159,-1210.1548,3153.2869
-1157,3159,-1210.1548,3153.2869
-1157,3159,-1210.1548,3153.2869
-1157,3159,-1210.1548,3153.2869
-1147,3154,-1185.4622,3155.3333
-1147,3154,-1185.4622,3155.3333
-1147,3154,-1185.4622,3155.3333
-1142,3149,-1184.0138,3091.0498
-1142,3149,-1184.0138,3091.0498
-1142,3149,-1184.0138,3091.0498
-1142,3149,-1184.0138,3091.0498
-1142,3149,-1184.0138,3091.0498
-1142,3149,-1184.0138,3091.0498
-1142,3149,-1184.0138,3091.0498
-1142,3149,-1184.0138,3091.0498
-1137,3149,-1188.2838,3086.3684
-1137,3149,-1188.2838,3086.3684
-1137,3149,-1188.2838,3086.3684
-1137,3149,-1188.2838,3086.3684
-1137,3149,-1188.2838,3086.3684
-1137,3149,-1188.2838,3086.3684
-1132,3149,-1178.7343,3064.315
-1122,3144,-1020.6039,3006.0889
-1107,3144,-964.34045,3013.4316
-1097,3139,-1162.0299,3151.6162
-1087,3139,-1131.33,3186.5176
-1072,3134,-1191.3209,3113.2534
-1057,3134,-1118.5953,3127.5972
